"account_id","segment","region","implementation_complexity","contract_value","tenure_months","product_usage_rate","active_seats_ratio","training_completion_rate","support_tickets_90d","avg_response_hours","prior_incident","escalation_flag"
"ACCT-0282","SMB","North","Low",12484,96,0.4717,0.6082,0.455,4,7.42,1,0
"ACCT-0283","Enterprise","South","Medium",32315,44,0.885,0.7688,0.7726,1,7.55,0,0
"ACCT-0284","SMB","South","Low",12580,13,0.5236,0.58,0.4713,2,12.19,0,0
"ACCT-0285","Mid-Market","North","Medium",23395,21,0.5989,0.6375,0.5988,1,7.06,0,0
"ACCT-0286","Enterprise","West","Low",56038,13,0.99,0.9471,0.7265,0,9.48,0,0
"ACCT-0287","Mid-Market","South","Low",28034,23,0.99,0.8555,0.7213,1,10.4,1,0
"ACCT-0288","Mid-Market","West","Low",43982,18,0.7974,0.8167,0.5554,2,8.59,0,0
"ACCT-0289","SMB","South","High",19725,30,0.303,0.5336,0.3532,11,27.03,0,1
"ACCT-0290","Enterprise","South","Medium",63325,39,0.7201,0.7991,0.5188,2,9.84,0,0
"ACCT-0291","SMB","South","Low",13387,21,0.5703,0.6723,NA,6,10.22,0,1
"ACCT-0292","SMB","North","Medium",24765,46,0.5475,0.6608,NA,2,16.67,0,0
"ACCT-0293","Enterprise","East","Medium",90181,58,0.7319,0.6663,0.677,4,16.76,1,0
"ACCT-0294","Strategic","North","Low",193157,53,0.7783,0.5749,0.9195,3,11.01,0,0
"ACCT-0295","SMB","West","High",25121,33,0.03,0.1052,NA,8,38.59,0,1
"ACCT-0296","Mid-Market","East","Low",70479,23,0.6719,0.6917,0.6286,1,30.25,1,0
"ACCT-0297","Mid-Market","South","Low",47073,10,0.5693,0.5639,0.4911,2,7.2,0,0
"ACCT-0298","Enterprise","North","Low",212022,20,0.8818,0.9435,0.7581,2,11.42,0,0
"ACCT-0299","Enterprise","South","High",117512,56,0.7514,0.8717,0.6601,4,12.77,1,0
"ACCT-0300","Mid-Market","North","Medium",42583,78,0.6519,0.6492,0.6332,1,13.1,0,0
"ACCT-0301","Mid-Market","South","Low",32417,32,0.6884,0.6737,0.6502,0,6.16,0,0
"ACCT-0302","Mid-Market","East","Medium",23365,16,0.3711,0.5117,NA,3,21.7,1,1
"ACCT-0303","SMB","East","Low",31740,37,0.5295,0.5892,0.6229,6,15.9,0,0
"ACCT-0304","Enterprise","South","Medium",75907,49,0.7769,0.6306,0.7677,0,6.93,0,0
"ACCT-0305","Mid-Market","South","Low",49907,40,0.7652,0.6383,0.7697,0,8.5,0,0
"ACCT-0306","Mid-Market","South","Medium",42441,13,0.5559,0.6188,0.4805,2,6.23,0,0
"ACCT-0307","Mid-Market","North","Low",32297,23,0.8009,0.7338,0.7052,5,22.57,0,0
"ACCT-0308","Mid-Market","West","Medium",32477,39,0.5267,0.489,0.5328,2,13.86,0,0
"ACCT-0309","Mid-Market","West","Medium",24586,44,0.745,0.5702,0.4243,0,10.11,0,0
"ACCT-0310","Mid-Market","North","Medium",61306,31,0.5028,0.5754,0.5068,2,8.06,1,1
"ACCT-0311","Mid-Market","East","Low",18413,28,0.8152,0.8435,0.7055,2,12.33,0,0
"ACCT-0312","SMB","North","High",17449,10,0.5491,0.6132,0.4984,6,24.48,1,1
"ACCT-0313","Mid-Market","South","Medium",43999,4,0.6544,0.6897,0.5969,1,4.46,0,0
"ACCT-0314","Enterprise","South","Low",148029,21,0.8951,0.8265,0.849,1,10.58,0,0
"ACCT-0315","SMB","East","Medium",7922,22,0.8122,0.6156,0.541,0,6.36,0,0
"ACCT-0316","Strategic","North","Medium",89852,20,0.8254,0.9325,0.8238,1,12.12,0,0
"ACCT-0317","SMB","West","Medium",13681,18,0.6033,0.7921,0.6411,2,6.39,0,0
"ACCT-0318","Mid-Market","South","Medium",53399,45,0.801,0.8163,0.7075,2,17.28,0,0
"ACCT-0319","Enterprise","North","Low",69225,20,0.5378,0.4378,0.3181,8,27.64,1,1
"ACCT-0320","SMB","North","Low",22290,10,0.7315,0.7714,0.5756,3,18.4,1,0
"ACCT-0321","Enterprise","East","Low",68387,24,0.7545,0.6197,0.7022,2,6.57,1,0
"ACCT-0322","Mid-Market","East","Medium",60836,31,0.8073,0.8448,0.5198,2,6.02,0,0
"ACCT-0323","Enterprise","West","Medium",105884,96,0.6223,0.7044,NA,2,10.3,0,0
"ACCT-0324","SMB","North","Low",18804,41,0.8148,0.7588,0.6213,2,11.08,0,0
"ACCT-0325","Mid-Market","North","Low",30696,53,0.9131,0.9064,0.4965,3,11.67,0,0
"ACCT-0326","Mid-Market","South","Low",53532,86,0.7866,0.7094,NA,2,12.34,1,0
"ACCT-0327","SMB","North","Low",16299,24,0.7946,0.7015,0.7647,1,10.42,0,0
"ACCT-0328","Mid-Market","East","Low",47755,51,0.7536,0.6743,0.5832,2,8.33,0,0
"ACCT-0329","Mid-Market","East","High",85100,25,0.5632,0.4637,0.4968,4,28.97,0,1
"ACCT-0330","SMB","North","Medium",13326,26,0.4597,0.4418,0.3896,3,11.33,0,0
"ACCT-0331","Mid-Market","East","Low",29543,25,0.3825,0.4729,0.5484,3,14.52,1,0
"ACCT-0332","Enterprise","West","High",61163,31,0.6635,0.6536,0.602,2,16.93,0,0
"ACCT-0333","SMB","East","High",10572,56,0.328,0.2946,0.1627,8,26.68,0,1
"ACCT-0334","Mid-Market","South","Low",101912,61,0.99,0.8441,NA,0,14.45,0,0
"ACCT-0335","SMB","North","High",10696,20,0.2732,0.4254,0.5575,10,26.89,0,0
"ACCT-0336","Enterprise","West","Low",75915,10,0.9604,0.8104,0.9095,2,13.18,0,0
"ACCT-0337","Mid-Market","East","High",35649,13,0.2972,0.3819,0.3158,6,40.85,1,1
"ACCT-0338","Mid-Market","West","Low",21699,25,0.7176,0.7868,0.7325,2,9.77,0,0
"ACCT-0339","SMB","South","High",26029,72,0.2395,0.4206,0.3083,5,39.88,1,1
"ACCT-0340","SMB","South","Low",12049,43,0.6812,0.7041,0.4554,2,6.93,0,0
"ACCT-0341","SMB","East","Medium",12632,49,0.5529,0.5484,0.579,2,10.85,0,0
"ACCT-0342","Mid-Market","North","Low",36525,22,0.99,0.99,0.8756,0,6.34,0,0
"ACCT-0343","Enterprise","West","High",79372,15,0.5104,0.4529,NA,2,40.06,0,0
"ACCT-0344","SMB","North","Medium",7786,35,0.1974,0.4148,NA,9,37.14,1,1
"ACCT-0345","Enterprise","East","High",82861,26,0.4603,0.4067,0.2383,4,13.49,0,0
"ACCT-0346","Mid-Market","North","Low",22386,24,0.9202,0.8433,0.6061,2,10.5,0,0
"ACCT-0347","SMB","West","Low",20165,25,0.5292,0.6388,NA,3,9.86,1,0
"ACCT-0348","Mid-Market","South","Low",41033,34,0.6304,0.6093,0.6056,4,11.88,0,0
"ACCT-0349","Mid-Market","West","Medium",38501,26,0.6779,0.668,0.5736,2,7.27,0,0
"ACCT-0350","Strategic","North","High",466776,48,0.9653,0.7755,0.4354,1,37.42,0,1
"ACCT-0351","Enterprise","North","Low",91969,41,0.7334,0.843,0.6121,2,8.99,0,0
"ACCT-0352","Mid-Market","South","Low",109993,84,0.4824,0.3867,NA,4,18.2,1,0
"ACCT-0353","Mid-Market","East","Medium",21902,10,0.8125,0.694,0.4494,4,29.89,0,1
"ACCT-0354","Enterprise","North","Medium",102101,78,0.4779,0.4719,0.667,2,19.81,0,0
"ACCT-0355","SMB","East","Medium",20120,18,0.8931,0.99,0.8204,2,11.65,0,0
"ACCT-0356","Mid-Market","North","Medium",24318,61,0.7643,0.7524,0.7215,1,12.95,0,0
"ACCT-0357","SMB","East","Low",15361,48,0.7283,0.5933,0.6025,3,20.51,1,1
"ACCT-0358","Mid-Market","East","Medium",32229,47,0.8476,0.8443,NA,0,7.66,0,0
"ACCT-0359","Mid-Market","South","High",53057,48,0.783,0.7628,0.4945,2,46.41,0,0
"ACCT-0360","Enterprise","West","Low",130658,33,0.9659,0.8137,0.8796,0,6.58,1,0
"ACCT-0361","SMB","East","Medium",56159,15,0.4907,0.5613,0.3079,1,6.12,1,0
"ACCT-0362","Mid-Market","South","Low",37310,68,0.7554,0.7175,0.5744,5,18.45,0,0
"ACCT-0363","Enterprise","North","High",65456,24,0.5858,0.525,0.3398,3,31.76,0,0
"ACCT-0364","Mid-Market","North","High",80675,15,0.3378,0.394,0.4962,4,12.43,0,1
"ACCT-0365","Enterprise","South","Low",121315,15,0.6167,0.6777,0.5527,1,6.11,0,0
"ACCT-0366","SMB","South","Medium",24282,18,0.7191,0.6094,0.526,2,18.87,0,0
"ACCT-0367","Enterprise","West","Low",181427,9,0.99,0.766,0.9191,3,9.91,0,0
"ACCT-0368","Mid-Market","West","Medium",45946,89,0.8494,0.804,0.6517,2,16.25,1,0
"ACCT-0369","Mid-Market","West","Low",35637,89,0.5704,0.6571,0.5972,4,8.64,0,0
"ACCT-0370","Strategic","East","Medium",173917,16,0.8866,0.7462,NA,0,2.94,0,0
"ACCT-0371","Mid-Market","South","Low",43761,14,0.7122,0.7184,0.7393,0,8.52,0,0
"ACCT-0372","SMB","South","Low",18640,53,0.8805,0.7117,0.8097,4,7.46,1,1
"ACCT-0373","SMB","East","High",10722,13,0.6861,0.7036,0.5143,12,27.31,1,1
"ACCT-0374","Strategic","East","High",308800,18,0.6793,0.5588,0.5624,6,39.24,1,1
"ACCT-0375","Mid-Market","South","Medium",44903,7,0.5266,0.5813,0.5495,5,9.82,0,0
"ACCT-0376","Mid-Market","South","High",31838,42,0.4638,0.5803,0.4351,7,13.75,1,0
"ACCT-0377","SMB","South","Low",27240,49,0.7752,0.8056,0.7594,4,28.79,0,0
"ACCT-0378","Mid-Market","West","Medium",27163,36,0.7541,0.6253,0.637,2,24.11,0,0
"ACCT-0379","SMB","West","Low",13247,32,0.6477,0.548,0.6357,2,13.99,0,1
"ACCT-0380","Mid-Market","West","Low",26088,36,0.4979,0.5064,0.5578,4,14.8,0,1
"ACCT-0381","SMB","North","High",11057,16,0.3127,0.4202,0.3674,10,17.47,1,1
"ACCT-0382","Enterprise","West","Low",80517,22,0.5644,0.5617,0.4931,2,8.28,0,1
"ACCT-0383","SMB","North","Low",12014,47,0.6379,0.4969,0.454,4,19.15,1,0
"ACCT-0384","Mid-Market","East","Low",24907,52,0.4733,0.5665,0.4982,1,20.46,0,0
"ACCT-0385","SMB","South","Medium",13789,10,0.4665,0.505,0.3203,2,9.85,0,0
"ACCT-0386","Mid-Market","South","Low",69302,12,0.99,0.9223,0.9183,2,11.2,0,0
"ACCT-0387","Enterprise","North","Medium",33470,19,0.7196,0.4848,0.5544,2,20.17,0,0
"ACCT-0388","Mid-Market","North","High",29255,34,0.6837,0.6021,0.562,1,23.85,0,1
"ACCT-0389","Enterprise","West","Medium",43996,8,0.4488,0.3482,0.3897,2,13.53,0,0
"ACCT-0390","SMB","West","Low",7092,21,0.6358,0.6498,0.4493,2,6.88,0,0
"ACCT-0391","Mid-Market","East","High",36099,13,0.2707,0.3813,0.1524,6,40.19,1,0
"ACCT-0392","SMB","North","High",12404,21,0.5979,0.5726,0.447,7,17.27,1,0
"ACCT-0393","Mid-Market","West","Low",25743,30,0.7098,0.679,0.5095,1,14.27,0,0
"ACCT-0394","SMB","North","Medium",13689,24,0.5152,0.3971,0.6299,3,8.82,0,0
"ACCT-0395","SMB","South","Medium",28601,82,0.4978,0.5662,0.5057,4,14.04,0,0
"ACCT-0396","SMB","West","Low",10527,51,0.9572,0.8114,0.6866,3,10.57,0,0
"ACCT-0397","SMB","North","Low",14274,8,0.7407,0.762,0.7126,2,14.03,0,0
"ACCT-0398","Mid-Market","East","Low",27669,71,0.8805,0.9707,0.5818,2,15.45,0,0
"ACCT-0399","Strategic","North","Medium",80078,14,0.5856,0.6916,0.5933,0,8.49,0,0
"ACCT-0400","SMB","South","Low",17893,32,0.5669,0.3631,0.3379,3,8.21,0,0
"ACCT-0401","Enterprise","South","Medium",63686,31,0.9031,0.6733,0.7421,0,2.93,0,0
"ACCT-0402","SMB","West","Medium",5476,11,0.561,0.5482,0.4231,3,15.83,1,0
"ACCT-0403","Enterprise","West","High",59954,20,0.5791,0.6069,0.2313,7,24.71,1,1
"ACCT-0404","Mid-Market","South","High",28705,14,0.6025,0.7158,0.6705,1,15.81,0,0
"ACCT-0405","SMB","North","Low",10334,13,0.5753,0.6704,0.4966,4,18.99,0,0
"ACCT-0406","Mid-Market","South","Low",55958,15,0.6658,0.5761,0.4641,3,18.87,0,0
"ACCT-0407","SMB","East","High",15158,24,0.3863,0.5936,0.4886,6,43.32,1,1
"ACCT-0408","SMB","South","Low",34755,20,0.6468,0.5489,0.5345,3,21.27,0,0
"ACCT-0409","Strategic","North","Medium",174281,20,0.2921,0.5027,0.4406,3,15.77,1,1
"ACCT-0410","Enterprise","West","Low",71900,48,0.99,0.7833,0.765,0,11.16,0,0
"ACCT-0411","Mid-Market","South","Low",42163,39,0.7345,0.5007,0.5115,1,14.48,0,0
"ACCT-0412","Mid-Market","North","Low",27947,29,0.8297,0.6535,0.6532,4,8.99,0,0
"ACCT-0413","Enterprise","South","Medium",64296,40,0.6884,0.7036,0.6021,0,8.4,0,0
"ACCT-0414","Mid-Market","West","High",24443,23,0.7272,0.7671,0.4496,3,14.61,0,0
"ACCT-0415","Mid-Market","West","High",23124,8,0.6425,0.7274,0.4127,0,49.38,0,0
"ACCT-0416","Enterprise","South","Low",91888,10,0.659,0.519,0.7093,3,15.08,0,0
"ACCT-0417","SMB","East","Medium",14305,9,0.6445,0.5577,0.7322,5,25.97,1,1
"ACCT-0418","SMB","North","Low",7899,14,0.5293,0.4724,0.4985,1,10.47,0,0
"ACCT-0419","SMB","North","Low",25170,18,0.7676,0.9054,1,3,27.24,0,1
"ACCT-0420","Mid-Market","East","Low",68749,46,0.7268,0.4984,0.8835,0,7.25,0,0
"ACCT-0421","Mid-Market","North","Medium",31231,45,0.7081,0.6543,0.5851,3,5.36,1,0
"ACCT-0422","Mid-Market","West","Low",28000,42,0.8985,0.9696,0.7809,0,7.13,0,0
"ACCT-0423","Mid-Market","East","Medium",44404,96,0.7076,0.951,0.5621,1,13.7,0,0
"ACCT-0424","Mid-Market","North","High",26356,46,0.841,0.7658,0.7786,1,13.08,0,0
"ACCT-0425","Mid-Market","North","Medium",27860,25,0.7462,0.6721,0.5717,0,15.18,0,0
"ACCT-0426","Mid-Market","East","Low",33061,14,0.5382,0.4241,0.4218,3,7.72,0,0
"ACCT-0427","SMB","East","Low",14511,24,0.4217,0.4169,0.4294,1,8.35,0,0
"ACCT-0428","Mid-Market","North","Low",29995,2,0.9012,0.7868,0.8042,1,8.57,0,0
"ACCT-0429","Enterprise","North","Medium",52960,23,0.99,0.7839,0.8249,0,8.75,0,0
"ACCT-0430","Mid-Market","South","Low",21451,44,0.6044,0.4834,0.5962,0,7.63,0,0
"ACCT-0431","Mid-Market","West","Low",20755,5,0.99,0.6499,0.7128,3,6.37,1,0
"ACCT-0432","SMB","North","Medium",19866,12,0.8165,0.8059,0.9428,0,10.13,0,1
"ACCT-0433","Mid-Market","South","Low",77560,56,0.863,0.7301,0.566,1,6.39,0,0
"ACCT-0434","Mid-Market","East","Medium",49824,96,0.8619,0.819,0.7013,1,10.27,0,0
"ACCT-0435","SMB","East","Medium",14801,13,0.6732,0.6968,0.6601,2,13.35,0,0
"ACCT-0436","Mid-Market","North","Low",31926,3,0.748,0.7421,0.5397,1,5.58,0,0
"ACCT-0437","Strategic","North","Low",176621,35,0.8859,0.6543,NA,1,30.67,0,0
"ACCT-0438","Enterprise","North","Medium",111122,14,0.3813,0.3153,NA,1,17.54,1,0
"ACCT-0439","Strategic","West","Low",129669,25,0.7236,0.7107,0.6111,2,7.96,0,0
"ACCT-0440","Mid-Market","North","Low",33170,39,0.7983,0.7147,NA,2,9.08,0,0
"ACCT-0441","Enterprise","North","Low",156293,14,0.9113,0.9212,0.9107,1,4.98,1,0
"ACCT-0442","Mid-Market","South","High",56943,49,0.52,0.6308,0.6584,4,8.03,0,0
"ACCT-0443","Mid-Market","North","High",54967,51,0.7594,0.7286,0.3946,2,18.96,0,0
"ACCT-0444","SMB","South","Low",21881,90,0.9577,0.8883,0.653,1,14.33,0,0
"ACCT-0445","Enterprise","South","Medium",85809,10,0.6476,0.585,0.5317,2,8.48,0,0
"ACCT-0446","Mid-Market","East","Low",19285,70,0.5381,0.4575,0.6197,1,24.96,0,0
"ACCT-0447","Mid-Market","North","Low",40290,12,0.6246,0.6518,0.6462,1,11.89,0,1
"ACCT-0448","Enterprise","South","Medium",70497,7,0.5116,0.4713,0.6737,4,18.19,0,0
"ACCT-0449","SMB","West","Low",11974,12,0.8917,0.8233,0.9557,2,11.59,0,0
"ACCT-0450","Enterprise","South","Low",141577,16,0.9325,0.9372,0.6961,1,12.33,0,0
"ACCT-0451","Enterprise","West","Medium",68903,36,0.6974,0.5123,NA,0,10.8,0,1
"ACCT-0452","Mid-Market","North","Medium",69766,26,0.628,0.604,0.6065,4,21.74,0,0
"ACCT-0453","SMB","North","Medium",12595,42,0.7781,0.7496,0.9134,0,3.99,0,0
"ACCT-0454","Enterprise","West","High",118186,31,0.5482,0.6518,0.3009,6,13.12,0,0
"ACCT-0455","SMB","South","High",17073,26,0.6452,0.7077,0.5055,1,17.72,1,1
"ACCT-0456","Mid-Market","East","High",33270,34,0.3943,0.5039,0.3432,3,22.1,1,1
"ACCT-0457","SMB","North","High",7756,32,0.2991,0.5283,0.2091,4,26.34,0,1
"ACCT-0458","Mid-Market","West","High",21995,34,0.5754,0.5444,0.487,5,57.39,0,1
"ACCT-0459","SMB","South","Low",19298,35,0.8147,0.6269,0.7836,4,19.08,1,0
"ACCT-0460","Enterprise","North","Medium",89840,20,0.6541,0.7053,0.4093,2,24.27,0,0
"ACCT-0461","Enterprise","East","Low",89957,18,0.7533,0.6681,0.6668,0,4.52,0,0
"ACCT-0462","SMB","West","Medium",22723,28,0.5684,0.5739,NA,5,22.25,0,1
"ACCT-0463","SMB","East","Low",23282,41,0.4428,0.4497,0.5362,2,6.92,0,0
"ACCT-0464","Enterprise","West","Low",66489,35,0.9557,0.8524,NA,1,12.37,0,0
"ACCT-0465","SMB","South","Low",6781,46,0.5027,0.7291,0.6981,3,7.45,0,0
"ACCT-0466","Enterprise","West","Low",72625,39,0.9889,0.8148,0.9119,4,9,0,0
"ACCT-0467","Strategic","West","Low",119249,9,0.8333,0.7342,NA,0,7.78,0,0
"ACCT-0468","Mid-Market","North","Medium",69258,56,0.5604,0.5177,0.5049,2,16.72,0,0
"ACCT-0469","Enterprise","North","Low",67571,7,0.5119,0.4136,NA,1,9.36,0,0
"ACCT-0470","SMB","West","Medium",8206,61,0.7378,0.763,0.7137,5,20.11,0,0
"ACCT-0471","SMB","East","Low",9043,35,0.3594,0.3369,0.3439,3,24.41,0,0
"ACCT-0472","Strategic","North","High",96172,59,0.8891,0.9588,0.5179,3,13.8,1,0
"ACCT-0473","Mid-Market","West","Medium",53040,57,0.8888,0.9062,0.8331,2,10.04,0,0
"ACCT-0474","SMB","East","Medium",24366,5,0.4657,0.6348,0.608,5,16.33,1,1
"ACCT-0475","Mid-Market","South","Medium",47008,11,0.7678,0.6828,0.5663,1,17.07,0,0
"ACCT-0476","Mid-Market","South","Medium",55115,5,0.4614,0.437,0.4354,1,5.88,0,0
"ACCT-0477","Mid-Market","West","Low",30708,14,0.4968,0.49,0.449,1,8.85,0,0
"ACCT-0478","SMB","North","Medium",48878,11,0.7631,0.6114,0.5142,0,7.28,0,0
"ACCT-0479","Mid-Market","East","Medium",25778,21,0.8258,0.478,0.5398,1,21.08,0,0
"ACCT-0480","Enterprise","North","High",64700,9,0.8235,0.8,0.4971,3,23.32,1,0
"ACCT-0481","Mid-Market","North","Low",33119,64,0.6493,0.6395,0.5845,2,11.15,0,0
"ACCT-0482","Mid-Market","West","Low",39085,80,0.5451,0.7489,0.5595,3,9.22,0,0
"ACCT-0483","Mid-Market","North","Medium",45083,24,0.9693,0.9454,0.7232,1,8.5,0,0
"ACCT-0484","SMB","South","Low",16033,27,0.634,0.4949,NA,1,14.02,0,0
"ACCT-0485","SMB","East","Medium",8986,9,0.5289,0.5609,0.5007,9,18.49,1,0
"ACCT-0486","SMB","East","Low",9499,15,0.0639,0.2355,NA,5,22,1,0
"ACCT-0487","SMB","West","Medium",28648,35,0.3133,0.3939,0.321,6,13.27,0,1
"ACCT-0488","Enterprise","West","Medium",139646,29,0.99,0.7482,0.9774,1,12.64,0,0
"ACCT-0489","Mid-Market","North","Low",45969,23,0.6807,0.5287,0.5047,5,20.75,1,0
"ACCT-0490","Strategic","South","Medium",127914,78,0.99,0.99,NA,1,6.88,0,0
"ACCT-0491","Mid-Market","North","Medium",75946,58,0.4792,0.4381,0.3138,5,7.49,1,1
"ACCT-0492","SMB","South","Medium",12980,32,0.68,0.554,0.4937,7,7.01,1,0
"ACCT-0493","SMB","South","Medium",23636,36,0.5323,0.508,0.5236,5,34.32,0,0
"ACCT-0494","Strategic","North","High",104845,51,0.6921,0.6157,0.5404,5,25.87,0,0
"ACCT-0495","SMB","East","High",5466,48,0.575,0.5791,NA,4,21.65,1,0
"ACCT-0496","Mid-Market","East","Medium",50564,80,0.4836,0.4414,0.7643,4,14.17,0,0
"ACCT-0497","Mid-Market","South","Low",32185,26,0.7875,0.6733,0.72,2,9.49,0,0
"ACCT-0498","Enterprise","North","High",52584,30,0.4244,0.4712,0.1426,2,23.93,1,1
"ACCT-0499","Strategic","West","Medium",273021,14,0.4946,0.6545,0.5418,2,8.59,0,1
"ACCT-0500","Mid-Market","East","Low",32731,39,0.9064,0.99,0.7237,0,6.62,0,0
"ACCT-0501","Mid-Market","North","Medium",83021,51,0.7764,0.5131,0.7793,5,12.79,0,0
"ACCT-0502","SMB","East","High",8406,22,0.5217,0.5134,0.4441,7,15.89,1,1
"ACCT-0503","Mid-Market","East","Low",30397,44,0.6321,0.3624,0.6453,4,12.72,0,0
"ACCT-0504","SMB","North","Medium",14906,42,0.6708,0.7843,0.6776,2,8.49,1,0
"ACCT-0505","Mid-Market","East","Medium",17405,26,0.4513,0.417,0.5705,1,14.08,0,1
"ACCT-0506","SMB","West","High",14479,82,0.4894,0.3499,0.2258,4,15.17,0,0
"ACCT-0507","Mid-Market","North","High",44011,26,0.5822,0.584,0.3263,4,21.86,0,0
"ACCT-0508","SMB","South","Low",19923,10,0.2472,0.3415,NA,7,23.53,1,1
"ACCT-0509","SMB","South","Medium",16667,62,0.7617,0.7091,0.5764,2,16.34,0,0
"ACCT-0510","SMB","East","Low",4679,25,0.6603,0.6905,0.7377,3,9.03,0,0
"ACCT-0511","Strategic","East","Medium",462813,37,0.895,0.8903,0.8322,0,4.7,0,0
"ACCT-0512","SMB","North","Low",17119,42,0.7858,0.7939,0.788,3,9.15,1,0
"ACCT-0513","Strategic","North","Low",208654,46,0.426,0.5829,0.5525,0,14.48,0,1
"ACCT-0514","SMB","South","Medium",14127,13,0.696,0.594,0.7047,2,8.3,0,0
"ACCT-0515","Strategic","North","Medium",244122,16,0.4514,0.4315,0.6571,3,16.89,0,1
"ACCT-0516","SMB","North","High",19181,26,0.3821,0.3925,0.2682,8,17.06,1,1
"ACCT-0517","Mid-Market","East","Low",26426,33,0.6584,0.6774,0.6533,5,19.17,0,0
"ACCT-0518","SMB","East","Medium",7157,79,0.6271,0.5442,0.4588,0,11.97,0,0
"ACCT-0519","Mid-Market","East","High",43478,35,0.3291,0.2872,0.5186,7,25.45,1,1
"ACCT-0520","SMB","South","Medium",16060,10,0.6502,0.5438,NA,0,7.83,0,0
"ACCT-0521","Mid-Market","North","Medium",42643,14,0.5199,0.3951,0.4117,0,7.85,0,0
"ACCT-0522","SMB","North","Medium",24420,46,0.6281,0.5894,0.5372,2,12.51,0,0
"ACCT-0523","Mid-Market","West","High",73306,18,0.59,0.6356,0.545,5,18.08,1,0
"ACCT-0524","SMB","North","Medium",19534,35,0.255,0.4715,0.608,7,11.06,0,0
"ACCT-0525","Enterprise","South","Medium",44865,38,0.8447,0.7339,0.684,3,12.96,0,0
"ACCT-0526","Enterprise","West","Medium",138480,14,0.8839,0.9021,0.8855,2,18.8,0,0
"ACCT-0527","Mid-Market","North","Medium",109197,11,0.7294,0.7191,0.6216,1,9.29,0,0
"ACCT-0528","SMB","South","Low",7971,19,0.7726,0.6784,0.8395,3,21.43,0,0
"ACCT-0529","SMB","North","Low",17101,19,0.6942,0.6059,NA,5,31.32,0,0
"ACCT-0530","Mid-Market","North","Low",31824,47,0.5778,0.5379,0.4147,4,6.53,0,0
"ACCT-0531","Enterprise","West","Medium",47152,32,0.5508,0.5666,0.504,2,11.53,0,0
"ACCT-0532","SMB","East","Medium",11087,28,0.7613,0.5786,0.5483,3,17.35,1,0
"ACCT-0533","SMB","North","Medium",30985,29,0.5363,0.694,NA,6,15.31,0,0
"ACCT-0534","Enterprise","East","Low",88300,47,0.831,0.868,NA,1,10.74,0,0
"ACCT-0535","Strategic","East","Low",177166,13,0.7709,0.7324,0.606,2,10.94,0,0
"ACCT-0536","Strategic","North","Medium",223450,17,0.9194,0.9646,0.9298,0,6.74,0,0
"ACCT-0537","SMB","North","Low",22021,47,0.4833,0.6437,0.625,5,12.87,0,0
"ACCT-0538","SMB","North","Medium",12837,25,0.2911,0.2743,0.3818,7,17.1,0,0
"ACCT-0539","Mid-Market","North","High",47327,25,0.6141,0.4869,0.3736,3,17,0,0
"ACCT-0540","SMB","East","Low",12096,24,0.4545,0.5097,0.5166,3,21.69,1,0
"ACCT-0541","SMB","South","High",20054,67,0.5943,0.7264,NA,5,12.55,1,0
"ACCT-0542","Enterprise","North","Medium",102556,30,0.6724,0.6284,0.6936,2,15.6,0,0
"ACCT-0543","Mid-Market","South","Low",35780,45,0.5893,0.7878,0.5015,2,9.63,0,0
"ACCT-0544","Mid-Market","North","Medium",50038,48,0.8303,0.99,0.6828,3,14.14,0,0
"ACCT-0545","SMB","West","Low",19746,12,0.4252,0.3584,0.4165,2,13.23,0,1
"ACCT-0546","Mid-Market","West","Medium",33582,57,0.8652,0.6999,0.6212,0,8.55,0,0
"ACCT-0547","SMB","North","Medium",18846,26,0.7525,0.562,0.4865,1,10.97,1,0
"ACCT-0548","Enterprise","West","High",144435,94,0.6016,0.6719,0.4546,4,11.82,1,0
"ACCT-0549","Mid-Market","East","Low",41359,11,0.8928,0.7323,0.9141,1,5.18,0,0
"ACCT-0550","SMB","East","High",49594,33,0.3709,0.5164,0.3968,6,8.77,1,1
"ACCT-0551","Mid-Market","South","Medium",28379,56,0.7972,0.6452,0.7263,3,20.67,0,0
"ACCT-0552","SMB","West","Low",20076,6,0.6691,0.6005,0.6933,2,11.57,0,0
"ACCT-0553","Strategic","East","Low",178454,9,0.8924,0.8664,0.9926,2,10.16,0,0
"ACCT-0554","Strategic","South","Low",98057,21,0.8403,0.7823,NA,0,4.43,0,0
"ACCT-0555","SMB","North","Medium",5413,42,0.4407,0.5565,NA,2,7.83,0,0
"ACCT-0556","Enterprise","North","High",61445,39,0.7096,0.5019,0.5248,2,24.75,1,0
"ACCT-0557","Mid-Market","West","Low",19632,9,0.7443,0.7538,0.7773,1,6.87,0,0
"ACCT-0558","Enterprise","North","Medium",47444,46,0.7633,0.7211,0.5622,2,12.26,0,0
"ACCT-0559","SMB","West","Low",31284,56,0.2145,0.458,NA,6,45.24,0,0
"ACCT-0560","Mid-Market","East","High",55629,10,0.4532,0.5743,NA,4,16.81,0,0
"ACCT-0561","Enterprise","North","Low",30845,19,0.7544,0.718,0.8233,0,2.62,0,0
"ACCT-0562","Mid-Market","North","Low",32911,75,0.5694,0.5533,0.4399,1,10.14,0,0
"ACCT-0563","Enterprise","North","Medium",103720,33,0.5483,0.5938,0.6086,4,20.85,0,0
